Term,Translate,Context,Reference,Comment
Launcher.ExitText,יְצִיאָה,,Launcher\Launcher.HE.xaml,
PASS⦙6,PASS⦙6,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.OpenReportText,דווח על בעיה,,Launcher\Launcher.HE.xaml,
PASS⦙7,PASS⦙7,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.OpenText,פתח Sucrose,,Launcher\Launcher.HE.xaml,
PASS⦙8,PASS⦙8,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.ReportText,דווח על שגיאה,,Launcher\Launcher.HE.xaml,
PASS⦙9,PASS⦙9,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.ReportWindowTitle,אבחון Sucrose,,Launcher\Launcher.HE.xaml,
PASS⦙10,PASS⦙10,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.SaveDialogTitle,שמור קובץ יומן,,Launcher\Launcher.HE.xaml,
Launcher.SaveDialogFilter,קבצי ZIP (*.zip)|*.zip|כל הקבצים (*.*)|*.*,,Launcher\Launcher.HE.xaml,
PASS⦙11,PASS⦙11,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.FeedbackText,שלח משוב,,Launcher\Launcher.HE.xaml,
Launcher.RequestFeedbackText,בקשה ומשוב,,Launcher\Launcher.HE.xaml,
PASS⦙12,PASS⦙12,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.SettingText,הגדרות,,Launcher\Launcher.HE.xaml,
PASS⦙13,PASS⦙13,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.TrayText,Sucrose Wallpaper Engine,,Launcher\Launcher.HE.xaml,
PASS⦙14,PASS⦙14,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.WallOpenText,פתח טפט,,Launcher\Launcher.HE.xaml,
Launcher.WallStopText,עצור טפט,,Launcher\Launcher.HE.xaml,
Launcher.WallCloseText,כבה את הטפט,,Launcher\Launcher.HE.xaml,
Launcher.WallStartText,התחל טפט,,Launcher\Launcher.HE.xaml,
Launcher.WallChangeText,שנה טפט,,Launcher\Launcher.HE.xaml,
Launcher.WallReloadText,רענן טפט,,Launcher\Launcher.HE.xaml,
PASS⦙15,PASS⦙15,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.ClosedText,סָגוּר,,Launcher\Launcher.HE.xaml,
Launcher.PausedText,נֶעצָר,,Launcher\Launcher.HE.xaml,
PASS⦙16,PASS⦙16,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.UpdateText,בדוק אם קיימים עדכונים,,Launcher\Launcher.HE.xaml,
PASS⦙17,PASS⦙17,Don't Touch,Launcher\Launcher.HE.xaml,Please don't touch the translation in this line.
Launcher.UpdateText.Done,העדכון נמצא בהכנה,,Launcher\Launcher.HE.xaml,
Launcher.UpdateText.Check,מחפש עדכונים,,Launcher\Launcher.HE.xaml,
Launcher.UpdateText.Progress,עדכון התקדמות {0},,Launcher\Launcher.HE.xaml,
Live.Title,{0} מידע,,Live\Live.HE.xaml,
PASS⦙18,PASS⦙18,Don't Touch,Live\Live.HE.xaml,Please don't touch the translation in this line.
Live.Close,לִסְגוֹר,,Live\Live.HE.xaml,
Live.Continue,לְהַמשִׁיך,,Live\Live.HE.xaml,
Live.Download,הורד,,Live\Live.HE.xaml,
Live.Remember,לִזכּוֹר,,Live\Live.HE.xaml,
PASS⦙19,PASS⦙19,Don't Touch,Live\Live.HE.xaml,Please don't touch the translation in this line.
Live.Info.WebView,WebView נדרש,,Live\Live.HE.xaml,
Live.Info.CefSharp,CefSharp נדרש,,Live\Live.HE.xaml,
Live.Info.MpvPlayer,דרוש MpvPlayer,,Live\Live.HE.xaml,
PASS⦙20,PASS⦙20,Don't Touch,Live\Live.HE.xaml,Please don't touch the translation in this line.
Live.Message.WebView,WebView2 Runtime אינו מותקן. WebView2 Runtime הוא רכיב המאפשר לך להשתמש בטכנולוגיות אינטרנט מודרניות ביישומים. לכן נדרש WebView2 Runtime כדי להגדיר את הטפט שנבחר.,,Live\Live.HE.xaml,
Live.Message.CefSharp,VC++ Redistributable אינו מותקן. VC++ Redistributable מספק כמה רכיבי מערכת הדרושים לתפקוד תקין של CefSharp. CefSharp היא מסגרת המאפשרת לך להשתמש בטכנולוגיות אינטרנט מודרניות ביישומים. לכן נדרש VC++ Redistributable כדי להגדיר את הטפט שנבחר.,,Live\Live.HE.xaml,
Live.Message.MpvPlayer,"דרישת גרסת Windows המינימלית לשימוש ב-MpvPlayer אינה מתקיימת. MpvPlayer הוא נגן מדיה שיכול לנגן קבצי מדיה באיכות גבוהה והשהייה נמוכה. הוא תומך בפורמטי וידאו ואודיו מודרניים ומציע אפשרויות תצורה חזקות. לכן, כדי להגדיר את הטפט שנבחר, עליך לעדכן את המערכת שלך ל-Windows 10 (Redstone) או לגרסה עדכנית יותר.",,Live\Live.HE.xaml,
Base64⦙1,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iQXJlYS9Qb3J0YWwuQXJlYS5IRS54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iRW51bS9Qb3J0YWwuRW51bS5IRS54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iQ2F0ZWdvcnkvUG9ydGFsLkNhdGVnb3J5LkhFLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJDb250cm9scy9Qb3J0YWwuQ29udHJvbHMuSEUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlN0b3JlUGFnZS9Qb3J0YWwuU3RvcmVQYWdlLkhFLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJNYWluV2luZG93L1BvcnRhbC5NYWluV2luZG93LkhFLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJMaWJyYXJ5UGFnZS9Qb3J0YWwuTGlicmFyeVBhZ2UuSEUueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlNldHRpbmdQYWdlL1BvcnRhbC5TZXR0aW5nUGFnZS5IRS54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=,Don't Touch,Portal\Portal.HE.xaml,Please don't touch the translation in this line.
Property.WindowTitle,Sucrose Property,,Property\Property.HE.xaml,
PASS⦙21,PASS⦙21,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.DeleteTip,מחק עותק,,Property\Property.HE.xaml,
Property.RefreshTip,רענן ממשק,,Property\Property.HE.xaml,
Property.RestoreTip,אפס לברירת מחדל,,Property\Property.HE.xaml,
PASS⦙22,PASS⦙22,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.Type.NotSupport,סוג הבקרה '{0}' אינו נתמך.,,Property\Property.HE.xaml,
PASS⦙23,PASS⦙23,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.ColorPicker.Color,צֶבַע,,Property\Property.HE.xaml,
Property.ColorPicker.Cancel,לְבַטֵל,,Property\Property.HE.xaml,
Property.ColorPicker.Confirm,לְאַשֵׁר,,Property\Property.HE.xaml,
Property.ColorPicker.EyeDropper,טַפטֶפֶת,,Property\Property.HE.xaml,
Property.ColorPicker.Popup.Title,Sucrose Property Color Picker,,Property\Property.HE.xaml,
PASS⦙24,PASS⦙24,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.FileDropDown.Filter,כל הקבצים (*.*)|*.*,,Property\Property.HE.xaml,
Property.FileDropDown.OpenTip,בחר קובץ,,Property\Property.HE.xaml,
Property.FileDropDown.DeleteTip,למחוק את הקובץ הזה,,Property\Property.HE.xaml,
PASS⦙25,PASS⦙25,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.FileDropDown.Lock.Close,אני מבין,,Property\Property.HE.xaml,
Property.FileDropDown.Lock.Title,אזהרת שימוש,,Property\Property.HE.xaml,
Property.FileDropDown.Lock.Message,הקובץ שבחרת נמצא בשימוש בתהליך אחר.,,Property\Property.HE.xaml,
PASS⦙26,PASS⦙26,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.FileDropDown.Access.Close,אני מבין,,Property\Property.HE.xaml,
Property.FileDropDown.Access.Title,התראת גישה,,Property\Property.HE.xaml,
Property.FileDropDown.Access.Message,אין לך הרשאה לגשת לקובץ שבחרת.,,Property\Property.HE.xaml,
PASS⦙27,PASS⦙27,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.Localization.WebView,עבור WebView בלבד,,Property\Property.HE.xaml,
Property.Localization.CefSharp,רק עבור CefSharp,,Property\Property.HE.xaml,
Property.Localization.MpvPlayer,רק עבור MpvPlayer,,Property\Property.HE.xaml,
Property.Localization.VlcPlayer,רק עבור VlcPlayer,,Property\Property.HE.xaml,
PASS⦙28,PASS⦙28,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.Localization.Hue,גוון צבע,,Property\Property.HE.xaml,
Property.Localization.Blur,לְטַשׁטֵשׁ,,Property\Property.HE.xaml,
Property.Localization.Mute,שָׁקֶט,,Property\Property.HE.xaml,
Property.Localization.Zoom,זום,,Property\Property.HE.xaml,
Property.Localization.Gamma,גמא,,Property\Property.HE.xaml,
Property.Localization.Sepia,חוּם כֵּהֶה,,Property\Property.HE.xaml,
Property.Localization.Speed,מְהִירוּת,,Property\Property.HE.xaml,
Property.Localization.Invert,שליליות,,Property\Property.HE.xaml,
Property.Localization.Mirror,שיקוף,,Property\Property.HE.xaml,
Property.Localization.Caption,כְּתוּבִית,,Property\Property.HE.xaml,
Property.Localization.Contrast,לְהַשְׁווֹת,,Property\Property.HE.xaml,
Property.Localization.Animation,הַנפָּשָׁה,,Property\Property.HE.xaml,
Property.Localization.Grayscale,גווני אפור,,Property\Property.HE.xaml,
Property.Localization.Sharpness,חַדוּת,,Property\Property.HE.xaml,
Property.Localization.Brightness,בְּהִירוּת,,Property\Property.HE.xaml,
Property.Localization.Saturation,רִוּוּי,,Property\Property.HE.xaml,
PASS⦙29,PASS⦙29,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.Localization.Mirror.Flat,יָשָׁר,,Property\Property.HE.xaml,
Property.Localization.Mirror.Vertical,אֲנָכִי,,Property\Property.HE.xaml,
Property.Localization.Mirror.Horizontal,אופקי,,Property\Property.HE.xaml,
Property.Localization.Mirror.VerticalHorizontal,אנכי ואופקי,,Property\Property.HE.xaml,
PASS⦙30,PASS⦙30,Don't Touch,Property\Property.HE.xaml,Please don't touch the translation in this line.
Property.Localization.Animation.Flat,יָשָׁר,,Property\Property.HE.xaml,
Property.Localization.Animation.Flip,רוֹטַציָה,,Property\Property.HE.xaml,
Property.Localization.Animation.Pulse,נְשִׁימָה,,Property\Property.HE.xaml,
Property.Localization.Animation.Shake,נַדְנֵדָה,,Property\Property.HE.xaml,
Property.Localization.Animation.Bounce,לִקְפּוֹץ,,Property\Property.HE.xaml,
Property.Localization.Animation.Wiggle,סווינג מהיר,,Property\Property.HE.xaml,
Undo.QuestionTitle,Sucrose Undo,,Undo\Undo.HE.xaml,
PASS⦙31,PASS⦙31,Don't Touch,Undo\Undo.HE.xaml,Please don't touch the translation in this line.
Undo.QuestionMessage,האם אתה באמת רוצה להסיר את ההתקנה של Sucrose Wallpaper Engine?,,Undo\Undo.HE.xaml,
Undo.QuestionDescription,"אם אתה רוצה להסיר אותו עם כל ההגדרות שלו, בחר כן, אם אתה רוצה להסיר אותו על ידי שמירת ההגדרות, בחר לא, ואם אתה רוצה לבטל את תהליך ההסרה, אנא בחר ביטול.",,Undo\Undo.HE.xaml,
Update.WindowTitle,Sucrose Update,,Update\Update.HE.xaml,
PASS⦙32,PASS⦙32,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.HelpText,פתור את הבעיה,,Update\Update.HE.xaml,
PASS⦙33,PASS⦙33,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.ReloadText,נסה שוב,,Update\Update.HE.xaml,
PASS⦙34,PASS⦙34,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.ReloadText.Check.Again,בדוק מחדש,,Update\Update.HE.xaml,
PASS⦙35,PASS⦙35,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.ReloadText.Browser.Opened,נפתח בדפדפן,,Update\Update.HE.xaml,
Update.ReloadText.Browser.Opening,זה נפתח בדפדפן,,Update\Update.HE.xaml,
PASS⦙36,PASS⦙36,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.MessageText.Preparing,מתבצעות הכנות הכרחיות,,Update\Update.HE.xaml,
PASS⦙37,PASS⦙37,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.MessageText.Temporary,מיקומים זמניים נשלטים,,Update\Update.HE.xaml,
Update.MessageText.Temporary.Error,לא ניתן היה לשלוט על מיקומים זמניים,,Update\Update.HE.xaml,
PASS⦙38,PASS⦙38,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.MessageText.Connection,חיבור לאינטרנט נבדק,,Update\Update.HE.xaml,
Update.MessageText.Connection.None,אין חיבור לאינטרנט,,Update\Update.HE.xaml,
Update.MessageText.Connection.Error,לא ניתן היה לבדוק את חיבור האינטרנט,,Update\Update.HE.xaml,
PASS⦙39,PASS⦙39,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.MessageText.Listing,רשימות נדרשות נלקחות,,Update\Update.HE.xaml,
Update.MessageText.Listing.Empty,רשימות החובה ריקות,,Update\Update.HE.xaml,
Update.MessageText.Listing.Error,לא ניתן היה לקבל רשימות נדרשות,,Update\Update.HE.xaml,
PASS⦙40,PASS⦙40,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.MessageText.Filtering,הרשימות ממוינות,,Update\Update.HE.xaml,
Update.MessageText.Filtering.Not,לא ניתן לסנן רשימות,,Update\Update.HE.xaml,
Update.MessageText.Filtering.Error,לא ניתן היה לחלץ רשימות,,Update\Update.HE.xaml,
PASS⦙41,PASS⦙41,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.MessageText.Comparing,הרשימות מושוות,,Update\Update.HE.xaml,
Update.MessageText.Comparing.Error,לא ניתן היה להשוות בין רשימות,,Update\Update.HE.xaml,
Update.MessageText.Comparing.Update,האפליקציה כבר מעודכנת,,Update\Update.HE.xaml,
PASS⦙42,PASS⦙42,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.MessageText.Searching,מחפש קבצים נדרשים,,Update\Update.HE.xaml,
Update.MessageText.Searching.Not,לא נמצאו קבצים נדרשים,,Update\Update.HE.xaml,
Update.MessageText.Searching.Error,לא ניתן היה לחפש קבצים נדרשים,,Update\Update.HE.xaml,
Update.MessageText.Searching.Condition,לא נמצאו קבצים נדרשים,,Update\Update.HE.xaml,
PASS⦙43,PASS⦙43,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
Update.MessageText.Downloading,הקבצים הנדרשים נמצאים בהורדה,,Update\Update.HE.xaml,
Update.MessageText.Downloading.Error,לא ניתן היה להוריד קבצים נדרשים,,Update\Update.HE.xaml,
Update.MessageText.Downloading.Complete.Error,אירעה שגיאה בעת הורדת הקובץ הדרוש,,Update\Update.HE.xaml,
Update.MessageText.Downloading.Complete.Cancel,הקובץ הנדרש בוטל בזמן ההורדה,,Update\Update.HE.xaml,
PASS⦙44,PASS⦙44,Don't Touch,Update\Update.HE.xaml,Please don't touch the translation in this line.
