Term,Translate,Context,Reference,Comment
PASS⦙14,PASS⦙14,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.WallOpenText,فتح خلفية الشاشة,,Launcher\Launcher.AR.xaml,
Launcher.WallStopText,إيقاف خلفية الشاشة,,Launcher\Launcher.AR.xaml,
Launcher.WallCloseText,إغلاق خلفية الشاشة,,Launcher\Launcher.AR.xaml,
Launcher.WallStartText,بدء تشغيل خلفية الشاشة,,Launcher\Launcher.AR.xaml,
Launcher.WallChangeText,تغيير خلفية الشاشة,,Launcher\Launcher.AR.xaml,
Launcher.WallReloadText,إعادة تحميل خلفية الشاشة,,Launcher\Launcher.AR.xaml,
PASS⦙15,PASS⦙15,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.ClosedText,مُغلَق,,Launcher\Launcher.AR.xaml,
Launcher.PausedText,متوقّف مؤقّتًا,,Launcher\Launcher.AR.xaml,
PASS⦙16,PASS⦙16,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.UpdateText,التحقّق من التحديثات,,Launcher\Launcher.AR.xaml,
PASS⦙17,PASS⦙17,Don't Touch,Launcher\Launcher.AR.xaml,Please don't touch the translation in this line.
Launcher.UpdateText.Done,جارٍ تحضير التحديث,,Launcher\Launcher.AR.xaml,
Launcher.UpdateText.Check,جارٍ التحقّق من التحديثات,,Launcher\Launcher.AR.xaml,
Launcher.UpdateText.Progress,تقدّم التحديث {0},,Launcher\Launcher.AR.xaml,
Live.Title,إشعار {0},,Live\Live.AR.xaml,
PASS⦙18,PASS⦙18,Don't Touch,Live\Live.AR.xaml,Please don't touch the translation in this line.
Live.Close,إغلاق,,Live\Live.AR.xaml,
Live.Continue,متابعة,,Live\Live.AR.xaml,
Live.Download,تنزيل,,Live\Live.AR.xaml,
Live.Remember,تذكُّر,,Live\Live.AR.xaml,
PASS⦙19,PASS⦙19,Don't Touch,Live\Live.AR.xaml,Please don't touch the translation in this line.
Live.Info.WebView,متطلّب WebView,,Live\Live.AR.xaml,
Live.Info.CefSharp,متطلّب CefSharp,,Live\Live.AR.xaml,
Live.Info.MpvPlayer,متطلّب MpvPlayer,,Live\Live.AR.xaml,
PASS⦙20,PASS⦙20,Don't Touch,Live\Live.AR.xaml,Please don't touch the translation in this line.
Live.Message.WebView,WebView2 Runtime غير مثبَّت. إنّ WebView2 Runtime مكوّن يتيح استخدام تقنيات الويب الحديثة في التطبيقات. لذلك يلزم WebView2 Runtime لتعيين خلفية الشاشة المحدّدة.,,Live\Live.AR.xaml,
Live.Message.CefSharp,VC++ Redistributable غير مثبَّت. يوفّر VC++ Redistributable بعض مكوّنات النظام اللازمة لعمل CefSharp بشكل صحيح. وCefSharp إطار عمل يتيح استخدام تقنيات الويب الحديثة في التطبيقات. لذلك يلزم VC++ Redistributable لتعيين خلفية الشاشة المحدّدة.,,Live\Live.AR.xaml,
Live.Message.MpvPlayer,لا يُستوفى الحد الأدنى من متطلّب إصدار Windows لاستخدام MpvPlayer. إنّ MpvPlayer مشغّل وسائط قادر على تشغيل ملفّات الوسائط بجودة عالية وزمن استجابة منخفض. وهو يدعم صيغ الفيديو والصوت الحديثة ويوفّر خيارات تهيئة قوية. لذلك، لتعيين خلفية الشاشة المحدّدة، يلزم ترقية نظامك إلى Windows 10 (Redstone) أو إصدار أحدث.,,Live\Live.AR.xaml,
Base64⦙1,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iQXJlYS9Qb3J0YWwuQXJlYS5BUi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iRW51bS9Qb3J0YWwuRW51bS5BUi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iQ2F0ZWdvcnkvUG9ydGFsLkNhdGVnb3J5LkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJDb250cm9scy9Qb3J0YWwuQ29udHJvbHMuQVIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlN0b3JlUGFnZS9Qb3J0YWwuU3RvcmVQYWdlLkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJNYWluV2luZG93L1BvcnRhbC5NYWluV2luZG93LkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJMaWJyYXJ5UGFnZS9Qb3J0YWwuTGlicmFyeVBhZ2UuQVIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlNldHRpbmdQYWdlL1BvcnRhbC5TZXR0aW5nUGFnZS5BUi54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=,Don't Touch,Portal\Portal.AR.xaml,Please don't touch the translation in this line.
Property.WindowTitle,Sucrose Property,,Property\Property.AR.xaml,
PASS⦙21,PASS⦙21,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.DeleteTip,حذف النسخة,,Property\Property.AR.xaml,
Property.RefreshTip,تحديث الواجهة,,Property\Property.AR.xaml,
Property.RestoreTip,استعادة الافتراضي,,Property\Property.AR.xaml,
PASS⦙22,PASS⦙22,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.Type.NotSupport,نوع عنصر التحكم '{0}' غير مدعوم.,,Property\Property.AR.xaml,
PASS⦙23,PASS⦙23,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.ColorPicker.Color,اللون,,Property\Property.AR.xaml,
Property.ColorPicker.Cancel,إلغاء,,Property\Property.AR.xaml,
Property.ColorPicker.Confirm,تأكيد,,Property\Property.AR.xaml,
Property.ColorPicker.EyeDropper,القطّارة,,Property\Property.AR.xaml,
Property.ColorPicker.Popup.Title,Sucrose Property Color Picker,,Property\Property.AR.xaml,
PASS⦙24,PASS⦙24,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.FileDropDown.Filter,كل الملفّات (*.*)|*.*,,Property\Property.AR.xaml,
Property.FileDropDown.OpenTip,حدِّد ملفًا,,Property\Property.AR.xaml,
Property.FileDropDown.DeleteTip,احذف هذا الملف,,Property\Property.AR.xaml,
PASS⦙25,PASS⦙25,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.FileDropDown.Lock.Close,حسنًا,,Property\Property.AR.xaml,
Property.FileDropDown.Lock.Title,الملف قيد الاستخدام,,Property\Property.AR.xaml,
Property.FileDropDown.Lock.Message,الملف المحدّد قيد الاستخدام من قِبَل عملية أخرى.,,Property\Property.AR.xaml,
PASS⦙26,PASS⦙26,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.FileDropDown.Access.Close,حسنًا,,Property\Property.AR.xaml,
Property.FileDropDown.Access.Title,تحذير الوصول,,Property\Property.AR.xaml,
Property.FileDropDown.Access.Message,ليس لديك إذن للوصول إلى الملف المحدّد.,,Property\Property.AR.xaml,
PASS⦙27,PASS⦙27,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.Localization.WebView,لـ WebView فقط,,Property\Property.AR.xaml,
Property.Localization.CefSharp,لـ CefSharp فقط,,Property\Property.AR.xaml,
Property.Localization.MpvPlayer,لـ MpvPlayer فقط,,Property\Property.AR.xaml,
PASS⦙28,PASS⦙28,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.Localization.Hue,تدرّج اللون,,Property\Property.AR.xaml,
Property.Localization.Blur,التمويه,,Property\Property.AR.xaml,
Property.Localization.Mute,كتم الصوت,,Property\Property.AR.xaml,
Property.Localization.Zoom,التكبير,,Property\Property.AR.xaml,
Property.Localization.Gamma,جاما,,Property\Property.AR.xaml,
Property.Localization.Sepia,بنّي داكن (سيبيا),,Property\Property.AR.xaml,
Property.Localization.Speed,السرعة,,Property\Property.AR.xaml,
Property.Localization.Invert,عكس الألوان,,Property\Property.AR.xaml,
Property.Localization.Mirror,الانعكاس,,Property\Property.AR.xaml,
Property.Localization.Caption,التسمية التوضيحية,,Property\Property.AR.xaml,
Property.Localization.Contrast,التباين,,Property\Property.AR.xaml,
Property.Localization.Animation,الحركة,,Property\Property.AR.xaml,
Property.Localization.Grayscale,التدرّج الرمادي,,Property\Property.AR.xaml,
Property.Localization.Sharpness,الحِدّة,,Property\Property.AR.xaml,
Property.Localization.Brightness,السطوع,,Property\Property.AR.xaml,
Property.Localization.Saturation,التشبُّع,,Property\Property.AR.xaml,
PASS⦙29,PASS⦙29,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.Localization.Mirror.Flat,مسطّح,,Property\Property.AR.xaml,
Property.Localization.Mirror.Vertical,عمودي,,Property\Property.AR.xaml,
Property.Localization.Mirror.Horizontal,أفقي,,Property\Property.AR.xaml,
Property.Localization.Mirror.VerticalHorizontal,عمودي وأفقي,,Property\Property.AR.xaml,
PASS⦙30,PASS⦙30,Don't Touch,Property\Property.AR.xaml,Please don't touch the translation in this line.
Property.Localization.Animation.Flat,مسطّح,,Property\Property.AR.xaml,
Property.Localization.Animation.Flip,قلب,,Property\Property.AR.xaml,
Property.Localization.Animation.Pulse,نبض,,Property\Property.AR.xaml,
Property.Localization.Animation.Shake,اهتزاز,,Property\Property.AR.xaml,
Property.Localization.Animation.Bounce,ارتداد,,Property\Property.AR.xaml,
Property.Localization.Animation.Wiggle,تمايل,,Property\Property.AR.xaml,
Undo.QuestionTitle,Sucrose Undo,,Undo\Undo.AR.xaml,
PASS⦙31,PASS⦙31,Don't Touch,Undo\Undo.AR.xaml,Please don't touch the translation in this line.
Undo.QuestionMessage,هل تريد حقًا إلغاء تثبيت Sucrose Wallpaper Engine؟,,Undo\Undo.AR.xaml,
Undo.QuestionDescription,للإزالة مع جميع الإعدادات، اختر نعم؛ وللاحتفاظ بالإعدادات والإزالة فقط، اختر لا؛ ولإلغاء عملية الإزالة، اختر إلغاء.,,Undo\Undo.AR.xaml,
Update.WindowTitle,Sucrose Update,,Update\Update.AR.xaml,
PASS⦙32,PASS⦙32,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.HelpText,حلّ المشكلة,,Update\Update.AR.xaml,
PASS⦙33,PASS⦙33,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.ReloadText,حاول مجددًا,,Update\Update.AR.xaml,
PASS⦙34,PASS⦙34,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.ReloadText.Check.Again,تحقّق مجددًا,,Update\Update.AR.xaml,
PASS⦙35,PASS⦙35,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.ReloadText.Browser.Opened,فُتح في المتصفّح,,Update\Update.AR.xaml,
Update.ReloadText.Browser.Opening,جارٍ الفتح في المتصفّح,,Update\Update.AR.xaml,
PASS⦙36,PASS⦙36,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.MessageText.Preparing,جارٍ إجراء التحضيرات اللازمة,,Update\Update.AR.xaml,
PASS⦙37,PASS⦙37,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.MessageText.Temporary,جارٍ التحقّق من المواقع المؤقّتة,,Update\Update.AR.xaml,
Update.MessageText.Temporary.Error,تعذّر التحقّق من المواقع المؤقّتة,,Update\Update.AR.xaml,
PASS⦙38,PASS⦙38,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.MessageText.Connection,جارٍ التحقّق من اتصال الإنترنت,,Update\Update.AR.xaml,
Update.MessageText.Connection.None,لا يوجد اتصال بالإنترنت,,Update\Update.AR.xaml,
Update.MessageText.Connection.Error,تعذّر التحقّق من اتصال الإنترنت,,Update\Update.AR.xaml,
PASS⦙39,PASS⦙39,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.MessageText.Listing,جارٍ الحصول على القوائم المطلوبة,,Update\Update.AR.xaml,
Update.MessageText.Listing.Empty,القوائم المطلوبة فارغة,,Update\Update.AR.xaml,
Update.MessageText.Listing.Error,تعذّر الحصول على القوائم المطلوبة,,Update\Update.AR.xaml,
PASS⦙40,PASS⦙40,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.MessageText.Filtering,جارٍ تصفية القوائم,,Update\Update.AR.xaml,
Update.MessageText.Filtering.Not,تعذّرت تصفية القوائم,,Update\Update.AR.xaml,
Update.MessageText.Filtering.Error,فشلت تصفية القوائم,,Update\Update.AR.xaml,
PASS⦙41,PASS⦙41,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.MessageText.Comparing,جارٍ مقارنة القوائم,,Update\Update.AR.xaml,
Update.MessageText.Comparing.Error,فشلت مقارنة القوائم,,Update\Update.AR.xaml,
Update.MessageText.Comparing.Update,التطبيق محدّث بالفعل,,Update\Update.AR.xaml,
PASS⦙42,PASS⦙42,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.MessageText.Searching,جارٍ البحث عن الملفّات المطلوبة,,Update\Update.AR.xaml,
Update.MessageText.Searching.Not,لم يتم العثور على الملفّات المطلوبة,,Update\Update.AR.xaml,
Update.MessageText.Searching.Error,تعذّر البحث عن الملفّات المطلوبة,,Update\Update.AR.xaml,
Update.MessageText.Searching.Condition,لم يتم العثور على الملفّات المطلوبة,,Update\Update.AR.xaml,
PASS⦙43,PASS⦙43,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.MessageText.Downloading,جارٍ تنزيل الملفّات المطلوبة,,Update\Update.AR.xaml,
Update.MessageText.Downloading.Error,تعذّر تنزيل الملفّات المطلوبة,,Update\Update.AR.xaml,
Update.MessageText.Downloading.Complete.Error,حدث خطأ أثناء تنزيل الملف المطلوب,,Update\Update.AR.xaml,
Update.MessageText.Downloading.Complete.Cancel,تم إلغاء تنزيل الملف المطلوب,,Update\Update.AR.xaml,
PASS⦙44,PASS⦙44,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
